2025-07-24 07:59:59,800 INFO    MainThread:3372 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_setup.py:_flush():81] Configure stats pid to 3372
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_setup.py:_flush():81] Loading settings from /Users/ayushdeolasee/.config/wandb/settings
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_setup.py:_flush():81] Loading settings from /Users/ayushdeolasee/Developer/mixture_of_experts/wandb/settings
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/ayushdeolasee/Developer/mixture_of_experts/wandb/run-20250724_075959-nx5jdru0/logs/debug.log
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/ayushdeolasee/Developer/mixture_of_experts/wandb/run-20250724_075959-nx5jdru0/logs/debug-internal.log
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_init.py:init():831] calling init triggers
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'batch_size': 2, 'max_seq_length': 512, 'vocab_size': 25000, 'num_heads': 8, 'num_experts': 32, 'grad_accum_steps': 8, 'epochs': 10000, 'learning_rate': 0.0003, 'embed_dim': 512, 'top_k_experts': 8, 'num_blocks': 8, 'warmup_steps': 750, 'max_lr': 0.0003, 'max_steps': 10000, 'min_lr': 3e-06, 'gpu_profiling_enabled': True, '_wandb': {}}
2025-07-24 07:59:59,801 INFO    MainThread:3372 [wandb_init.py:init():872] starting backend
2025-07-24 08:00:00,028 INFO    MainThread:3372 [wandb_init.py:init():875] sending inform_init request
2025-07-24 08:00:00,045 INFO    MainThread:3372 [wandb_init.py:init():883] backend started and connected
2025-07-24 08:00:00,046 INFO    MainThread:3372 [wandb_init.py:init():956] updated telemetry
2025-07-24 08:00:00,070 INFO    MainThread:3372 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-24 08:00:00,985 INFO    MainThread:3372 [wandb_init.py:init():1032] starting run threads in backend
2025-07-24 08:00:01,043 INFO    MainThread:3372 [wandb_run.py:_console_start():2453] atexit reg
2025-07-24 08:00:01,043 INFO    MainThread:3372 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-24 08:00:01,043 INFO    MainThread:3372 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-24 08:00:01,043 INFO    MainThread:3372 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-24 08:00:01,045 INFO    MainThread:3372 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-24 08:00:02,248 INFO    MainThread:3372 [wandb_run.py:_config_callback():1358] config_cb None None {'total_parameters': 3794757352, 'trainable_parameters': 3794757352}
2025-07-24 08:00:02,433 INFO    MsgRouterThr:3372 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
